year,country,population_density,urban_population_growth,population_living_in_slums,rural_population_growth,people_using_safely_managed_sanitation_services_rural,people_using_at_least_basic_sanitation_services,che_gdp,ope_che,malaria_incidence_rate
2000,Niger,9.086310887,3.981270272,70.03805,3.368184328,1.231805414,5.519397609,4.69,60.5,359.2
2000,Nigeria,138.7644455,4.224815881,74.10729,1.855172454,22.17645507,27.9946356,3.2,60.16,401.8
2000,Cameroon,31.54710287,3.954526508,65.3638,1.540660432,3.450816374,38.29631919,4.3,78.47,392.4
2000,Chad,6.759921379,3.611530094,91.58375,3.416750467,5.669827333,9.692674302,4.01,56.22,270.9
2000,Benin,64.04415573,3.909687421,71.86569,2.562303495,0.444573882,8.605667005,2.96,54.91,412.5
2001,Niger,9.410789453,3.964903646,70.03805,3.420461518,1.4958188,6.026104095,4.76,60.42,350.7
2001,Nigeria,142.5854991,5.06797646,74.10729,1.435980229,22.10495485,28.03390811,3.19,60.75,394.5
2001,Cameroon,32.38664297,3.928804609,65.3638,1.524111701,3.565385896,38.33013034,4.17,75.1,422.9
2001,Chad,6.991839263,3.525632808,91.58375,3.331120184,5.634952991,9.775113768,3.88,58.26,275.4
2001,Benin,66.0304718,3.877930875,71.86569,2.538970062,0.495819813,9.004247526,3.3,49.06,428.3
2002,Niger,9.749067656,3.500718625,70.09604,3.537453137,1.759832185,6.51516459,4.86,59.62,327.9
2002,Nigeria,146.5485128,5.066416158,71.59477,1.428698608,22.31842154,28.68634733,2.49,65.05,381.7
2002,Cameroon,33.26675552,3.9711345,62.0946,1.562904164,3.683305537,38.36740331,4.03,70.18,432.3
2002,Chad,7.239669632,3.630736521,90.45647,3.44233595,5.606778888,9.857710031,5.33,64.74,241.6
2002,Benin,68.06869457,4.033845376,71.47241,2.408952968,0.549346968,9.425228797,3.1,51.77,446.5
2003,Niger,10.10261625,3.537690135,70.09604,3.567048545,2.02384557,7.004409852,4.78,61.25,298.9
2003,Nigeria,150.6446677,5.052947798,71.59477,1.412134298,22.54423709,29.35925914,5.05,72.81,382.1
2003,Cameroon,34.18658374,4.00306011,62.0946,1.594565237,3.801225178,38.59076542,3.9,71.52,436.3
2003,Chad,7.534810197,4.147774521,90.45647,3.953644706,5.578604785,9.940810512,4.04,47.42,238.7
2003,Benin,70.17621497,4.321936231,71.47241,2.22566581,0.605155346,9.87676966,3.12,51.68,465.9
2004,Niger,10.47275282,3.57360849,70.15403,3.603029695,2.279084876,7.493612797,5.01,60,302.8
2004,Nigeria,154.8766922,5.036145129,69.08224,1.394666501,22.77272247,30.05326384,4.63,64.55,390.1
2004,Cameroon,35.13885257,4.011093226,58.8254,1.59770007,3.914757779,38.81609736,3.73,73.89,435.3
2004,Chad,7.878046379,4.606300309,89.32919,4.412469931,5.550430682,10.02424456,4.04,51.01,235.7
