"year","country","population_density","urban_population","urban_population_growth","population_living_in_slums","rural_population","rural_population_growth","people_using_safely_managed_sanitation_services_rural","people_using_at_least_basic_sanitation_services","people_using_at_least_basic_sanitation_services_rural","people_using_at_least_basic_sanitation_services_urban","che_gdp","dgghe_gdp","dgghe_gge","dphe_che","ehe_che","ope_che","malaria_incidence_rate"
2000,"Niger",9.086310887,16.186,3.981270272,70.03805,83.814,3.368184328,1.231805414,5.519397609,1.91478062,24.18474803,4.69,1.13,8.37,66.65,9.25,60.5,359.2
2000,"Nigeria",138.7644455,34.84,4.224815881,74.10729,65.16,1.855172454,22.17645507,27.9946356,27.84955347,28.26597979,3.2,0.59,2.37,64.72,16.97,60.16,401.8
2000,"Cameroon",31.54710287,45.542,3.954526508,65.3638,54.458,1.540660432,3.4508163735,38.29631919,24.52661298,54.76179534,4.3,0.65,4.43,82.43,2.55,78.47,392.4
2000,"Chad",6.759921379,21.637,3.611530094,91.58375,78.363,3.416750467,5.669827333,9.692674302,6.100607781,22.70210711,4.01,1.52,11.4,58.37,3.6,56.22,270.9
2000,"Benin",64.04415573,38.333,3.909687421,71.86569,61.667,2.562303495,0.444573882,8.605667005,2.223545434,18.87270421,2.96,1.14,7.3,59.09,2.32,54.91,412.5
2001,"Niger",9.410789453,16.26,3.964903646,70.03805,83.74,3.420461518,1.4958188,6.026104095,2.318252838,25.1217677,4.76,1.15,8.34,66.59,9.33,60.42,350.7
2001,"Nigeria",142.5854991,35.669,5.06797646,74.10729,64.331,1.435980229,22.10495485,28.03390811,27.79539009,28.46408743,3.19,0.86,2.78,66.39,6.72,60.75,394.5
2001,"Cameroon",32.38664297,46.139,3.928804609,65.3638,53.861,1.524111701,3.5653858955,38.33013034,24.26991094,54.74352376,4.17,0.78,5.34,79.19,2.09,75.1,422.9
2001,"Chad",6.991839263,21.67,3.525632808,91.58375,78.33,3.331120184,5.634952991,9.775113768,6.068174501,23.17449201,3.88,1.35,11.87,61.52,3.61,58.26,275.4
2001,"Benin",66.0304718,38.65,3.877930875,71.86569,61.35,2.538970062,0.495819813,9.004247526,2.483464741,19.35483043,3.3,1.23,7.99,52.39,10.23,49.06,428.3
2002,"Niger",9.749067656,16.255,3.500718625,70.09604,83.745,3.537453137,1.759832185,6.51516459,2.721725055,26.05878738,4.86,1.21,8.36,65.72,9.43,59.62,327.9
2002,"Nigeria",146.5485128,36.508,5.066416158,71.59477,63.492,1.428698608,22.31842154,28.68634733,28.10001438,29.70605551,2.49,0.53,2.74,71.36,7.3,65.05,381.7
2002,"Cameroon",33.26675552,46.738,3.9711345,62.0946,53.262,1.562904164,3.6833055365,38.36740331,24.0132089,54.72525218,4.03,0.89,6.43,74.41,3.45,70.18,432.3
2002,"Chad",7.239669632,21.702,3.630736521,90.45647,78.298,3.44233595,5.606778888,9.857710031,6.03574122,23.64687692,5.33,1.54,11.72,68.5,2.66,64.74,241.6
2002,"Benin",68.06869457,39.036,4.033845376,71.47241,60.964,2.408952968,0.549346968,9.425228797,2.75501528,19.84235381,3.1,0.97,6.35,55.3,13.37,51.77,446.5
2003,"Niger",10.10261625,16.251,3.537690135,70.09604,83.749,3.567048545,2.02384557,7.004409852,3.125197273,26.99580706,4.78,1.07,7.63,67.48,10.11,61.25,298.9
2003,"Nigeria",150.6446677,37.356,5.052947798,71.59477,62.644,1.412134298,22.54423709,29.35925914,28.40323764,30.96245352,5.05,0.93,4.01,75.89,5.72,72.81,382.1
2003,"Cameroon",34.18658374,47.338,4.00306011,62.0946,52.662,1.594565237,3.8012251775,38.59076542,23.92279641,54.90840561,3.9,0.86,6.52,75.65,2.37,71.52,436.3
2003,"Chad",7.534810197,21.735,4.147774521,90.45647,78.265,3.953644706,5.578604785,9.940810512,6.00330794,24.11926182,4.04,1.28,8.98,51.64,16.83,47.42,238.7
2003,"Benin",70.17621497,39.536,4.321936231,71.47241,60.464,2.22566581,0.605155346,9.87676966,3.03819705,20.33527435,3.12,1.06,7.73,55.24,10.8,51.68,465.9
2004,"Niger",10.47275282,16.247,3.57360849,70.15403,83.753,3.603029695,2.279084876,7.493612797,3.528669491,27.93282673,5.01,1.18,7.35,66.16,10.27,60,302.8
2004,"Nigeria",154.8766922,38.212,5.036145129,69.08224,61.788,1.394666501,22.77272247,30.05326384,28.70505987,32.23328145,4.63,1.2,6.55,67.84,6.22,64.55,390.1
2004,"Cameroon",35.13885257,47.94,4.011093226,58.8254,52.06,1.59770007,3.914757779,38.81609736,23.82879022,55.09142449,3.73,0.71,5.26,77.73,3.35,73.89,435.3
2004,"Chad",7.878046379,21.768,4.606300309,89.32919,78.232,4.412469931,5.550430682,10.02424456,5.970874659,24.59164672,4.04,1.41,15.03,54.7,10.43,51.01,235.7
2004,"Benin",72.3580525,40.039,4.325986217,71.07914,59.961,2.226336842,0.663244948,10.34006776,3.33301005,20.83359204,3.23,1.16,8.69,52.06,12.01,48.58,488.1
2005,"Niger",10.85986579,16.242,3.598955108,70.15403,83.758,3.635667961,2.497579523,7.997902758,3.891516324,29.17403445,5.68,1.92,12.35,55.42,10.75,50.13,310.5
2005,"Nigeria",159.2248899,39.074,4.999601322,69.08224,60.926,1.363918521,22.99982001,30.76891368,29.00548107,33.51853932,4.47,1.14,6.41,69,5.45,65.97,395.9
