Year,Country,Population density,Urban population,Urban population growth,Population living in slums,Rural population,Rural population growth,People using safely managed sanitation services rural,People using at least basic sanitation services,People using at least basic sanitation services rural,People using at least basic sanitation services urban
2000,Niger,9.086310887,16.186,3.981270272,70.03805,83.814,3.368184328,1.231805414,5.519397609,1.91478062,24.18474803
2000,Nigeria,138.7644455,34.84,4.224815881,74.10729,65.16,1.855172454,22.17645507,27.9946356,27.84955347,28.26597979
2000,Cameroon,31.54710287,45.542,3.954526508,65.3638,54.458,1.540660432,..,38.29631919,24.52661298,54.76179534
2000,Chad,6.759921379,21.637,3.611530094,91.58375,78.363,3.416750467,5.669827333,9.692674302,6.100607781,22.70210711
2000,Benin,64.04415573,38.333,3.909687421,71.86569,61.667,2.562303495,0.444573882,8.605667005,2.223545434,18.87270421
2001,Niger,9.410789453,16.26,3.964903646,..,83.74,3.420461518,1.4958188,6.026104095,2.318252838,25.1217677
2001,Nigeria,142.5854991,35.669,5.06797646,..,64.331,1.435980229,22.10495485,28.03390811,27.79539009,28.46408743
2001,Cameroon,32.38664297,46.139,3.928804609,..,53.861,1.524111701,..,38.33013034,24.26991094,54.74352376
2001,Chad,6.991839263,21.67,3.525632808,..,78.33,3.331120184,5.634952991,9.775113768,6.068174501,23.17449201
2001,Benin,66.0304718,38.65,3.877930875,..,61.35,2.538970062,0.495819813,9.004247526,2.483464741,19.35483043
2002,Niger,9.749067656,16.255,3.500718625,70.09604,83.745,3.537453137,1.759832185,6.51516459,2.721725055,26.05878738
2002,Nigeria,146.5485128,36.508,5.066416158,71.59477,63.492,1.428698608,22.31842154,28.68634733,28.10001438,29.70605551
2002,Cameroon,33.26675552,46.738,3.9711345,62.0946,53.262,1.562904164,..,38.36740331,24.0132089,54.72525218
2002,Chad,7.239669632,21.702,3.630736521,90.45647,78.298,3.44233595,5.606778888,9.857710031,6.03574122,23.64687692
2002,Benin,68.06869457,39.036,4.033845376,71.47241,60.964,2.408952968,0.549346968,9.425228797,2.75501528,19.84235381
2003,Niger,10.10261625,16.251,3.537690135,..,83.749,3.567048545,2.02384557,7.004409852,3.125197273,26.99580706
2003,Nigeria,150.6446677,37.356,5.052947798,..,62.644,1.412134298,22.54423709,29.35925914,28.40323764,30.96245352
2003,Cameroon,34.18658374,47.338,4.00306011,..,52.662,1.594565237,..,38.59076542,23.92279641,54.90840561
2003,Chad,7.534810197,21.735,4.147774521,..,78.265,3.953644706,5.578604785,9.940810512,6.00330794,24.11926182
2003,Benin,70.17621497,39.536,4.321936231,..,60.464,2.22566581,0.605155346,9.87676966,3.03819705,20.33527435
2004,Niger,10.47275282,16.247,3.57360849,70.15403,83.753,3.603029695,2.279084876,7.493612797,3.528669491,27.93282673
2004,Nigeria,154.8766922,38.212,5.036145129,69.08224,61.788,1.394666501,22.77272247,30.05326384,28.70505987,32.23328145
2004,Cameroon,35.13885257,47.94,4.011093226,58.8254,52.06,1.59770007,..,38.81609736,23.82879022,55.09142449
2004,Chad,7.878046379,21.768,4.606300309,89.32919,78.232,4.412469931,5.550430682,10.02424456,5.970874659,24.59164672
2004,Benin,72.3580525,40.039,4.325986217,71.07914,59.961,2.226336842,0.663244948,10.34006776,3.33301005,20.83359204
2005,Niger,10.85986579,16.242,3.598955108,..,83.758,3.635667961,2.497579523,7.997902758,3.891516324,29.17403445
2005,Nigeria,159.2248899,39.074,4.999601322,..,60.926,1.363918521,22.99982001,30.76891368,29.00548107,33.51853932
2005,Cameroon,36.12065325,48.541,4.001605562,..,51.459,1.594576812,..,39.04253582,23.73119033,55.27430883
2005,Chad,8.202106099,21.801,4.182590232,..,78.199,3.988908521,5.522256579,10.10801121,5.938441378,25.06403162
2005,Benin,74.72635686,40.543,4.471530021,..,59.457,2.376511608,0.723615773,10.81469422,3.639454283,21.3373069
2006,Niger,11.26437278,16.238,3.632442064,70.21202,83.762,3.661873356,2.711020603,8.498589648,4.246026116,30.43498804
2006,Nigeria,163.6827454,39.943,4.960863934,66.56972,60.057,1.324655783,23.22552968,31.50684826,29.30450123,34.81822711
2006,Cameroon,37.12721753,49.143,3.981114363,55.55619,50.857,1.571789399,..,39.27077068,23.62999674,55.45705862
